player_name,pitcher,gs,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Ryan Gusto,687473,19,1760,89.58420454545455,0.11477272727272728,0.6494318181818182,2.8735659099554143,110.0
Ben Casparius,676508,7,1250,89.50008000000001,0.1368,0.6408,1.9655989111960948,109.6
Daniel Palencia,694037,0,841,96.4514863258026,0.1403091557669441,0.6587395957193817,1.302199969623827,109.5
Max Lazar,676661,0,646,89.78931888544892,0.09287925696594428,0.6346749226006192,0.9915206910348044,109.5
Shane Baz,669358,30,2718,91.5532744665195,0.12693156732891833,0.6515820456217807,4.154454750780723,109.4
Bryan Abreu,650556,0,1189,92.02270815811606,0.1900756938603869,0.6215306980656014,1.7719240497897317,109.2
Rico Garcia,670329,1,586,89.89726962457338,0.1552901023890785,0.6552901023890785,0.8727415745567861,109.2
Bryce Miller,682243,18,1542,90.23566796368353,0.122568093385214,0.6465629053177692,2.285532150629485,109.2
Bryan King,687911,0,1046,88.22715105162524,0.121414913957935,0.6902485659655831,1.5603435775884775,109.2
Lake Bachar,669199,1,1143,89.88748906386701,0.1399825021872266,0.6395450568678915,1.70373087463821,109.2
Jonathan Bowlan,680742,0,727,90.6038514442916,0.1623108665749656,0.6299862448418156,1.080019344032259,109.2
Casey Mize,663554,28,2353,90.65830854228645,0.11942201444963876,0.6587335316617084,3.4332743871746283,109.1
Kyle Bradish,680694,6,494,90.82813765182186,0.15789473684210525,0.6396761133603239,0.6867867348034674,108.7
Sonny Gray,543243,31,2718,87.37619573215599,0.13061074319352464,0.6622516556291391,3.7701972103881807,108.7
Tomoyuki Sugano,608372,30,2565,87.7325925925926,0.08693957115009747,0.631578947368421,3.5272798205915543,108.6
Max Fried,608331,32,3109,88.3171437761338,0.1247989707301383,0.6349308459311676,4.191341580324881,108.5
Adrian Houser,605288,21,1892,90.7489957716702,0.08985200845665962,0.6527484143763214,2.4819947748317723,108.3
Emmet Sheehan,686218,14,1146,90.58298429319372,0.16579406631762653,0.6448516579406631,1.499208782901003,108.3
Brock Burke,656271,0,1014,92.01686390532545,0.1222879684418146,0.6577909270216963,1.337179300472986,108.3
Tobias Myers,668964,5,826,88.75338983050848,0.1089588377723971,0.6610169491525424,1.0687309550693553,108.2
Brenan Hanifee,669724,0,946,93.50739957716702,0.07293868921775898,0.6374207188160677,1.2156765160651501,108.2
Garrett Cleavinger,664076,0,874,91.19622425629291,0.17848970251716248,0.6762013729977117,1.10822447522522,108.1
Yennier Cano,666974,0,986,92.47150101419878,0.10649087221095335,0.6318458417849898,1.2331875277778235,108.0
Ryan Helsley,664854,0,979,93.1973442288049,0.15628192032686414,0.676200204290092,1.2232348144718244,108.0
Mitch Spence,687765,11,1353,87.80428677014042,0.13082039911308205,0.656319290465632,1.676500462144293,107.9
John King,667463,0,782,89.62173913043478,0.09974424552429667,0.649616368286445,0.9421567537401125,107.8
Clayton Kershaw,477132,21,1768,84.31102941176471,0.11029411764705882,0.630656108597285,2.116864739555002,107.7
Luis García,472610,0,871,90.40229621125143,0.11595866819747416,0.6383467278989667,1.0290467159295895,107.6
Sandy Alcántara,645261,31,2891,92.33562781044621,0.10342442061570391,0.6596333448633691,3.3794604569580358,107.6
Tanner Banks,621383,0,1084,87.47416974169742,0.10977859778597786,0.6568265682656826,1.2504538366581281,107.5
Bennett Sousa,656986,0,728,89.59478021978022,0.19505494505494506,0.6717032967032966,0.8227384590063123,107.4
Joe Ryan,657746,31,2794,90.12537580529705,0.12992125984251968,0.6556907659269864,3.1760417745503955,107.4
Ryan Walker,676254,0,1018,91.44449901768174,0.09332023575638507,0.6453831041257367,1.1386348058011897,107.3
Dennis Santana,642701,0,1002,90.2870259481038,0.1407185628742515,0.6986027944111777,1.12291504114201,107.3
